user_id,item_id,timestamp
196,242,881250949
186,302,891717742
298,474,884182806
253,465,891628467
305,451,886324817
6,86,883603013
286,1014,879781125
200,222,876042340
210,40,891035994
224,29,888104457
303,785,879485318
122,387,879270459
291,1042,874834944
119,392,886176814
167,486,892738452
299,144,877881320
308,1,887736532
38,95,892430094
63,277,875747401
160,234,876861185
50,246,877052329
301,98,882075827
225,193,879539727
290,88,880731963
97,194,884238860
157,274,886890835
278,603,891295330
7,32,891350932
10,16,877888877
284,304,885329322
276,564,874791805
287,327,875333916
246,201,884921594
242,1137,879741196
249,241,879641194
99,4,886519097
178,332,882823437
251,100,886271884
260,322,890618898
25,181,885853415
59,196,888205088
87,384,879877127
290,143,880474293
42,423,881107687
292,515,881103977
115,20,881171009
201,219,884112673
13,526,882141053
246,919,884920949
138,26,879024232
60,427,883326620
57,304,883698581
223,274,891550094
189,512,893277702
243,15,879987440
246,416,884923047
194,165,879546723
178,248,882823954
254,1444,886475558
293,5,888906576
127,229,884364867
225,237,879539643
299,229,878192429
225,480,879540748
276,54,874791025
291,144,874835091
222,366,878183381
267,518,878971773
42,403,881108684
11,111,891903862
95,625,888954412
8,338,879361873
162,25,877635573
87,1016,879876194
279,154,875296291
119,1153,874781198
62,498,879373848
62,382,879375537
28,209,881961214
135,23,879857765
32,294,883709863
90,382,891383835
286,208,877531942
293,685,888905170
216,144,880234639
166,328,886397722
250,496,878090499
271,132,885848672
160,174,876860807
265,118,875320714
198,498,884207492
42,96,881107178
168,151,884288058
110,307,886987260
58,144,884304936
90,648,891384754
271,346,885844430
62,21,879373460
279,832,881375854
237,514,879376641
94,789,891720887
128,485,879966895
298,317,884182806
44,195,878347874
264,200,886122352
72,195,880037702
222,750,883815120
250,264,878089182
41,265,890687042
224,245,888082216
82,135,878769629
262,1147,879791710
293,471,888904884
216,658,880245029
250,140,878092059
59,23,888205300
286,379,877533771
244,815,880605185
7,479,891352010
87,274,879876734
13,272,884538403
305,427,886323090
299,955,889502823
57,419,883698454
84,405,883452363
269,504,891449922
299,111,877878184
194,466,879525876
160,135,876860807
99,268,885678247
10,486,877886846
259,117,874724988
85,427,879456350
303,919,879467295
213,273,878870987
121,514,891387947
90,98,891383204
42,794,881108425
68,117,876973939
172,177,875537965
19,4,885412840
268,231,875744136
5,2,875636053
44,294,883612356
43,137,875975656
80,466,887401701
254,164,886472768
298,281,884183336
66,298,883601324
18,443,880130193
99,79,885680138
13,98,881515011
26,258,891347949
7,455,891353086
222,755,878183481
200,673,884128554
119,328,876923913
213,172,878955442
276,322,874786392
94,1217,891723086
130,379,875801662
38,328,892428688
160,719,876857977
293,1267,888906966
130,216,875216545
92,1079,886443455
256,452,882164999
1,61,878542420
72,48,880036718
56,755,892910207
13,360,882140926
92,77,875654637
292,174,881105481
232,483,888549622
224,26,888104153
181,220,878962392
259,255,874724710
305,471,886323648
52,280,882922806
161,202,891170769
148,408,877399018
97,228,884238860
58,1098,884304936
83,234,887665548
90,347,891383319
272,178,879455113
194,181,879521396
125,478,879454628
299,14,877877775
151,10,879524921
269,127,891446165
6,14,883599249
54,106,880937882
303,69,879467542
301,790,882078621
276,1091,874793035
87,554,879875940
294,109,877819599
286,171,877531791
200,318,884128458
178,568,882826555
62,65,879374686
207,591,876018608
92,172,875653271
301,401,882078040
36,339,882157581
70,746,884150257
63,242,875747190
28,201,881961671
279,68,875307407
250,7,878089716
14,98,890881335
299,1018,889502324
194,54,879525876
303,815,879485532
119,237,874775038
295,218,879966498
66,258,883601089
233,202,879394264
83,623,880308578
214,334,891542540
100,344,891374868
301,56,882076587
307,89,879283786
234,141,892334609
83,576,880308755
297,133,875240090
38,153,892430369
7,382,891352093
264,813,886122952
85,507,879456199
269,367,891450023
59,468,888205855
286,143,889651549
113,595,875936424
292,11,881104093
130,1014,876250718
275,98,875155140
189,520,893265380
218,209,877488546
123,427,879873020
119,222,874775311
158,177,880134407
222,118,877563802
279,501,875308843
301,79,882076403
13,198,881515193
1,189,888732928
145,237,875270570
23,385,874786462
201,767,884114505
296,705,884197193
42,546,881105817
33,872,891964230
301,554,882078830
16,64,877720297
95,135,879197562
154,357,879138713
77,484,884733766
296,508,884196584
244,673,880606667
222,77,878183616
13,215,882140588
16,705,877722736
270,452,876956264
187,64,879465631
200,304,876041644
170,749,887646170
101,829,877136138
184,218,889909840
128,204,879967478
184,153,889911285
1,33,878542699
1,160,875072547
184,321,889906967
54,595,880937813
94,343,891725009
128,508,879967767
301,227,882077222
301,191,882075672
82,183,878769848
222,724,878181976
218,430,877488316
308,1197,887739521
303,134,879467959
133,751,890588547
69,256,882126156
254,662,887347350
